timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,tempMPU,IR,Red,BPM,DS1
4465317396,204,788,16176,-309,-6,-227,35.73,1599,635,0.00,31.94
4465350688,264,696,15968,-298,-29,-210,35.78,1762,627,0.00,31.94
4465975761,248,708,16108,-307,2,-228,35.82,538,567,0.51,31.94
4466009060,256,644,16068,-313,-37,-214,35.73,600,550,0.00,31.94
4466634185,172,616,16012,-324,-30,-229,35.78,548,82,1.52,31.94
4466668664,296,644,16248,-328,-35,-209,35.78,454,82,0.00,31.94
4467293728,312,712,16048,-304,-27,-220,35.82,85,1641,0.00,31.94
4467327011,200,680,16136,-317,-31,-213,35.82,123,1595,0.00,31.94
4467952076,300,700,16116,-303,-18,-211,35.78,1495,584,0.00,31.94
4467985335,232,728,16332,-292,-42,-213,35.82,1659,605,0.00,31.94
4468610428,264,704,16140,-294,-49,-239,35.82,591,545,0.51,31.94
4468644919,232,668,16140,-317,-38,-214,35.82,566,537,0.00,31.94
4469269985,348,648,16108,-284,-22,-241,35.78,557,125,0.00,31.94
4469303247,236,684,16068,-334,-37,-238,35.82,571,115,0.00,31.94
4469928300,164,680,16040,-305,-8,-220,35.78,90,1621,0.76,31.94
4469961602,280,636,16096,-296,-35,-231,35.68,89,1582,0.00,31.94
4470586660,296,728,16008,-318,-26,-224,35.82,1590,585,0.00,31.94
4470621132,168,712,16244,-310,-33,-214,35.82,1535,575,1.43,31.94
4471246199,244,668,16136,-299,-31,-233,35.78,600,611,0.00,31.94
4471279478,372,564,16036,-283,-19,-239,35.87,628,608,0.00,31.94
4471904536,132,664,16144,-336,-24,-223,35.82,519,150,0.78,31.94
4471937819,208,644,16284,-299,-14,-223,35.82,582,141,0.00,31.94
4472562887,248,676,15984,-283,-47,-216,35.87,160,1600,1.52,31.94
4472597385,300,700,16060,-288,-39,-237,35.73,127,1642,0.00,31.94
4473222457,192,692,16112,-317,-5,-210,35.87,1668,806,0.00,31.94
4473255741,188,596,16240,-320,-18,-226,35.78,1721,699,0.00,31.94
4473880824,204,676,15992,-301,-1,-230,35.82,629,583,0.76,31.94
4473914098,196,712,16068,-320,-43,-216,35.82,650,575,0.00,31.94
4474539168,244,692,16204,-308,-18,-223,35.87,579,191,1.52,31.94
4474573666,220,624,16200,-307,-9,-206,35.82,559,184,0.00,31.94
4475198721,212,692,16152,-298,-20,-220,35.73,202,663,0.00,31.94
4475231986,216,712,16076,-290,-16,-225,35.78,210,921,0.00,32.00
4475857066,164,588,16092,-292,-28,-224,35.87,707,1794,0.00,32.00
4475890337,164,660,16092,-289,-22,-217,35.78,1011,1633,0.00,31.94
4476515397,180,656,15956,-317,-48,-213,35.78,1729,572,0.00,31.94
4476549895,192,636,16160,-303,-41,-221,35.73,1568,552,0.50,31.94
4477174967,244,620,16072,-308,-10,-235,35.82,591,585,0.00,31.94
4477208258,156,632,16016,-307,-40,-231,35.82,605,388,0.00,31.94
4477833318,324,648,16304,-302,-31,-214,35.78,496,94,0.78,31.94
